City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
259,mahibadhoo,3.7833,72.9667,302.08,79,100,4.11,MV,1721243704
260,aljezur,37.3191,-8.8033,292.92,67,1,5.08,PT,1721243706
261,al hawatah,13.4167,34.6333,301.18,64,83,4.59,SD,1721243707
262,queenstown,-31.8976,26.8753,284.91,37,8,3.11,ZA,1721243708
263,muroran,42.3172,140.9881,292.72,97,35,1.26,JP,1721243709
264,katsuura,35.1333,140.3,297.49,93,100,1.27,JP,1721243710
265,talara,-4.5772,-81.2719,296.57,68,0,10.0,PE,1721243711
266,naifaru,5.4444,73.3657,301.88,80,97,5.55,MV,1721243712
267,lionel town,17.8101,-77.2406,306.43,63,4,5.85,JM,1721243713
268,narman,40.3465,41.8703,289.81,91,100,1.09,TR,1721243714
269,poso,-1.3959,120.7524,297.62,80,23,3.77,ID,1721243716
270,tsiombe,-25.3,45.4833,292.0,84,5,2.48,MG,1721243717
271,gizo,-8.103,156.8419,299.62,81,100,2.06,SB,1721243718
272,vorkuta,67.5,64.0,289.14,86,100,2.56,RU,1721243719
273,wuxi,31.5689,120.2886,302.16,82,100,2.59,CN,1721243720
274,hami,42.8,93.45,304.12,29,70,7.42,CN,1721243721
275,natal,-5.795,-35.2094,300.51,61,20,8.75,BR,1721243722
276,guerrero negro,27.9769,-114.0611,296.21,61,5,6.75,MX,1721243723
277,zaragoza,41.6561,-0.8773,306.75,37,0,6.69,ES,1721243725
278,ploneour-lanvern,47.9,-4.2833,291.33,77,0,1.54,FR,1721243726
279,swift current,50.2834,-107.8014,302.6,32,0,3.09,CA,1721243727
280,crane,31.3974,-102.3501,307.7,28,100,7.18,US,1721243728
281,baise city,23.8997,106.6133,297.85,97,100,1.14,CN,1721243729
282,pervomayskoye,43.919,46.7102,297.05,71,100,3.24,RU,1721243730
283,bunia,1.5667,30.25,292.37,83,100,1.59,CD,1721243731
284,ulladulla,-35.35,150.4667,281.11,87,51,2.12,AU,1721243732
285,ipilan,8.8431,117.9033,298.41,88,100,2.34,PH,1721243733
286,salmon arm,50.6998,-119.3024,307.28,30,28,1.03,CA,1721243735
287,acapulco de juarez,16.8634,-99.8901,305.05,62,20,5.14,MX,1721243736
288,omaruru,-21.4333,15.9333,288.32,15,0,0.7,NA,1721243737
289,sucua,-2.4667,-78.1667,299.56,61,75,3.09,EC,1721243738
290,daru,-9.0763,143.2092,297.09,78,100,4.3,PG,1721243739
291,urangan,-25.3,152.9,285.3,67,3,6.1,AU,1721243740
292,tvoroyri,61.5556,-6.8111,284.44,92,100,5.38,FO,1721243741
293,progreso,21.2833,-89.6667,308.77,63,100,6.45,MX,1721243742
294,olyokminsk,60.3736,120.4264,289.32,84,37,0.73,RU,1721243743
295,ust'-ilimsk,58.0006,102.6619,291.1,76,100,0.82,RU,1721243656
296,jamestown,42.097,-79.2353,298.72,70,100,3.09,US,1721243746
297,mount gambier,-37.8333,140.7667,279.21,84,24,1.76,AU,1721243462
298,vilyuysk,63.7553,121.6247,287.8,97,70,2.42,RU,1721243748
299,utrik,11.2278,169.8474,300.74,85,76,9.38,MH,1721243749
300,champerico,14.3,-91.9167,307.45,73,97,4.13,GT,1721243750
301,morden,49.1919,-98.1014,294.31,52,46,1.03,CA,1721243751
302,qarazhal,48.0078,70.7903,292.5,79,100,3.48,KZ,1721243752
303,i-n-salah,27.1935,2.4607,315.56,6,31,4.1,DZ,1721243753
304,broken hill,-31.95,141.4333,280.12,98,57,5.24,AU,1721243754
305,ujiie,36.6833,139.9667,294.45,95,39,0.91,JP,1721243755
306,praia,14.9215,-23.5087,299.45,73,75,3.09,CV,1721243561
307,sibay,52.7181,58.6658,288.77,85,60,2.26,RU,1721243758
308,zaterechnyy,44.7931,45.2097,300.13,43,96,4.26,RU,1721243759
309,margate,51.3813,1.3862,293.64,67,100,3.57,GB,1721243760
310,las tablas,7.7667,-80.2833,301.58,80,100,2.92,PA,1721243761
311,hammerfest,70.6634,23.6821,285.4,87,0,5.14,NO,1721243763
312,wamba,8.9333,8.6,297.37,91,29,1.64,NG,1721243765
313,mugia,43.1041,-9.2179,293.8,88,96,2.59,ES,1721243766
314,kununurra,-15.7667,128.7333,283.14,71,100,1.54,AU,1721243767
315,kuala belait,4.5833,114.1833,298.24,84,98,0.43,BN,1721243768
316,bir el ater,34.7449,8.0602,305.36,19,99,4.76,DZ,1721243769
317,luganville,-15.5333,167.1667,297.67,90,85,0.43,VU,1721243770
318,sinop,41.7711,34.8709,294.36,66,100,1.54,TR,1721243662
319,itamaraca,-7.7478,-34.8256,301.18,75,5,5.84,BR,1721243772
320,enewetak,11.3474,162.3373,301.64,77,67,7.86,MH,1721243774
321,egilsstadir,65.2653,-14.3948,283.1,93,100,5.14,IS,1721243775
322,itoman,26.1247,127.6694,302.58,91,20,5.14,JP,1721243776
323,toguchin,55.2353,84.3858,291.76,90,86,2.23,RU,1721243777
324,qurayyat,31.3318,37.3428,305.25,17,0,3.09,SA,1721243778
325,colonia,50.9333,6.95,295.9,69,20,1.54,DE,1721243662
326,bodaybo,57.8506,114.1933,289.44,88,97,0.37,RU,1721243552
327,macheng,31.1783,115.0319,300.27,83,100,2.18,CN,1721243781
328,macapa,0.0389,-51.0664,306.14,58,40,3.09,BR,1721243782
329,muromtsevo,56.3724,75.2418,290.38,97,100,3.59,RU,1721243783
330,al ghayzah,16.2079,52.176,299.92,86,100,4.18,YE,1721243785
331,muroto-misakicho,33.2833,134.15,299.22,91,100,3.97,JP,1721243786
332,idri,27.5,13.2667,306.86,12,0,5.19,LY,1721243787
333,san luis de la loma,17.2706,-100.8939,304.7,62,9,3.09,MX,1721243788
334,happy valley-goose bay,53.3168,-60.3315,291.32,82,75,5.14,CA,1721243789
335,belene,43.65,25.1167,306.47,22,90,2.32,BG,1721243790
336,punta arenas,-53.15,-70.9167,280.21,81,0,3.6,CL,1721243791
337,monrovia,6.3005,-10.7969,298.02,82,100,5.99,LR,1721243586
338,ellsworth,44.5434,-68.4195,303.2,63,0,7.2,US,1721243795
339,gunjur,13.2019,-16.7339,299.19,21,75,3.6,GM,1721243796
340,arraial do cabo,-22.9661,-42.0278,295.13,78,0,7.72,BR,1721243798
341,santiago,-33.4569,-70.6483,293.84,33,75,2.06,CL,1721243799
342,aflou,34.1128,2.1023,305.69,12,79,4.69,DZ,1721243574
343,moapa valley,36.5805,-114.4703,315.16,13,9,2.82,US,1721243801
344,fisterra,42.9049,-9.2629,293.72,89,99,3.71,ES,1721243802
345,vila franca do campo,37.7167,-25.4333,297.38,91,99,4.86,PT,1721243804
346,sretensk,52.2453,117.7093,289.32,96,100,1.51,RU,1721243805
347,trincomalee,8.5711,81.2335,301.61,74,100,8.26,LK,1721243806
348,catumbela,-12.4314,13.5472,293.47,91,62,1.06,AO,1721243807
349,saldanha,-33.0117,17.9442,285.82,85,100,4.35,ZA,1721243808
350,cadale,2.7603,46.3222,298.24,85,21,8.14,SO,1721243809
351,melfort,52.8667,-104.6177,298.22,53,4,5.14,CA,1721243810
352,san ignacio de velasco,-16.3667,-60.95,303.56,25,99,1.81,BO,1721243811
353,holualoa,19.6228,-155.9522,297.35,83,40,3.09,US,1721243812
354,zacualtipan,20.65,-98.6,295.14,76,81,2.75,MX,1721243814
355,ocean city,39.2776,-74.5746,307.14,72,21,2.24,US,1721243815
356,bandar-e genaveh,29.5791,50.517,307.27,62,10,3.13,IR,1721243816
357,cody,44.5263,-109.0565,304.26,29,0,2.57,US,1721243817
358,mili,6.0815,171.735,299.96,83,100,5.76,MH,1721243818
359,roanoke rapids,36.4615,-77.6542,307.64,70,40,5.14,US,1721243819
360,dongfeng,42.6403,125.5118,291.99,94,2,1.95,CN,1721243820
361,morehead city,34.7229,-76.726,302.6,85,40,9.26,US,1721243821
362,saint-pierre,-21.3393,55.4781,293.97,64,20,2.57,RE,1721243814
